,Aggressive,Careful,Timid
avg_speed,-0.593715286725331,-0.0012578044473155593,0.24419454545469949
max_speed,-0.16491016721555474,-0.001282075653750914,0.23780760676092985
var_speed,-0.13967693731175104,0.00045154790815450364,-0.07877049304378261
max_abs_accel,0.4604401967883656,-0.0004364266365597221,0.06792826787147649
var_acceleration,0.3243010836644999,-0.0006793219527413107,0.11562648687485141
gamma,0.5351700066369334,-0.00037821559402116916,0.055435727459038055
max_abs_long_accel,0.3835175246851461,-0.00014202607603517193,0.016214848209399807
max_abs_lat_accel,0.15719408618666456,-0.0015719881128771988,0.28252204996141916
max_abs_jerk,0.6348398873701641,-0.0005095120432331756,0.07685099176039847
max_abs_long_jerk,0.45972296413864394,-0.0003075612173227199,0.044461438887902285
max_abs_lat_jerk,0.6076258080076508,-0.0008916010309111547,0.14717037086846704
hard_brake_count,-0.40227961223118963,-0.0005154600965674942,0.10408085673069889
hard_accel_count,0.18699781588812767,-9.542774505954725e-05,0.012676874449089099
lateral_g_spike_count,0.07076002761390232,-0.0014002864060336177,0.2534095059227668
high_jerk_count,0.11561193475666154,-0.0014615933989059276,0.2634515986370153
max_abs_heading_rate,0.631053181862974,0.0005287584478748136,-0.11227179835839247
tdbm_v_avg,-0.14723728391982602,1.595443672997092e-05,0.0008042687596375484
tdbm_j_l,4.780134356538815,-0.0023399646245871675,0.30593621633450235
tdbm_v_nei,1.1441860405439248,-0.006179556832513491,1.0973402597066086
tdbm_s_front,1.648833366768378,-0.007135394394859183,1.2588134297563423
